geneID	Compound_A_Low	Compound_A_Mid	Compound_A_High
100034253	-0.201787582	-0.591572458	-0.661785043
100036582	0.527585397	-1.188452701	0.255414055
100036765	-1.372100318	-0.618799418	-1.255166449
100049583	0.999695968	0.878003081	2.16607512
100125361	1.032007656	0.589157037	1.397735647
100125362	0.422507587	-1.043347859	-0.242660506
100125364	0.243008862	0.867043288	0.991240185
100125367	-0.3259041	0.510563349	1.697217993
100125370	-1.572431469	-0.916516923	0.497870175
100125371	-0.497482509	-0.065286008	0.761713353
100125373	0.1808463	0.773158857	0.481007696
100125374	-0.07720671	-1.073924256	-0.657359997
100126191	-0.192472038	-1.536286722	-0.507474612
100134827	-0.454781945	-0.959297601	-1.245600784
100145871	0.876635152	0.77599697	2.216967107
100147704	1.142428948	0.659362583	-0.767859811
100151767	-0.469181441	0.266171813	0.450815809
100158225	-0.730486054	0.336017553	0.163991508
100158232	-0.03640487	-0.540525309	0.68668596
100158233	-1.379014986	-1.240202182	-1.324574715
100174909	1.269939304	-0.368893947	0.488893964
100174910	-0.193377785	0.202685252	0.714294223
100188932	0.078027163	-0.736058311	1.053603166
100188933	-1.342893536	-0.599778708	-3.013679013
100188937	1.203749365	0.399219221	0.011300739
100188944	-0.099410993	0.197160857	-0.816934906
100189544	-0.504298811	1.699144369	1.819303181
100190936	-0.024777486	0.184237462	-1.372042032
100192313	0.916445934	-0.690209457	-3.195310851
100192314	0.474634217	0.403884894	0.004682972
100196907	-1.235869939	-0.06426249	-2.71084252
100216475	-0.69009199	-1.980696903	-0.507310887
100233176	0.684015139	2.119681717	2.276621203
100270669	-0.448297133	-0.618551515	-0.390672378
100270678	-0.188616368	-1.255659466	-0.31888283
100294508	-0.328007927	-1.413470076	0.920383392
100301568	-0.239896788	-1.657057466	0.849024515
100302372	-1.038091566	-0.759303087	-0.596391348
100302373	-0.69793181	-0.524397265	0.478287646
100302447	-0.402787059	1.906780998	-1.996076473
100302453	-0.355822008	0.424085352	-0.07234252
100303643	1.955511185	0.948080173	1.637436019
100310845	-1.048763975	-0.283411225	0.376573448
100310874	-0.104956107	-0.819173708	-0.399491558
100312984	-0.470574578	0.731329829	-1.474865764
100314002	2.01216065	0.471187754	-0.587626277
100314105	-0.438765688	-0.85457638	-1.385161823
100314187	1.072526477	2.003506881	2.425194872
100314289	-0.519643685	-0.823543549	0.287799087
100322884	-0.28445283	0.458205325	-0.28911183
100359478	2.215130977	1.708013953	1.285506984
100359484	-0.061117564	-0.37063154	-0.423495498
100359529	-0.766696217	0.456571314	-0.264480086
100359558	-1.311590108	-0.805810044	-2.434128903
100359592	-1.212483797	-1.203038013	-0.84814284
100359595	-0.956950333	-0.701601597	0.193810023
100359642	-0.777461264	-0.454197199	0.007900764
100359678	-3.027965405	-0.01566065	0.020337243
100359714	-0.187264162	-1.065286771	-0.292251179
100359753	-1.123604231	-1.274392734	-0.672449553
100359816	-0.965684262	0.889275602	-0.428358265
100359823	-1.037408375	-0.000636378	0.827117919
100359832	0.831985173	0.491575747	-0.180784792
100359861	0.798286311	1.945742485	0.772821978
100359865	-0.314379103	-0.468896772	-0.376842179
100359879	1.579525887	1.625054665	1.222008122
100359945	0.199256672	-0.154866044	-0.326858497
100359946	-0.026486063	-0.467448182	-0.748406104
100359977	1.519599006	1.643853604	0.621643829
100359982	1.003285731	1.622958452	0.612129092
100360015	0.651267159	4.274618033	1.065236486
100360017	1.451831441	-0.015703916	0.829225871
100360066	0.203023015	1.01413076	1.676702287
100360077	1.177926868	0.224911952	0.008422397
100360100	1.320203637	1.401440036	1.177486969
100360120	0.845946602	-0.111463372	-0.741914288
100360128	-0.520724688	3.618487887	0.575046663
100360180	-0.724250742	-0.199860249	0.190801526
100360205	-1.93720946	-1.003083592	-3.303790099
100360302	-0.310948704	-0.392967493	0.682992729
100360334	0.734899933	1.567730727	1.182129754
100360342	-0.489922619	-0.412873433	1.696840612
100360380	-0.304025267	0.406421447	0.568805192
100360406	-0.187496491	0.064825935	-0.377623858
100360412	1.20300203	0.955888823	-0.15224662
100360417	0.203540485	-0.282389986	0.127478281
100360427	-0.804286779	0.602115921	-1.231388819
100360464	0.263285982	0.066220783	0.176278347
100360470	0.22352085	0.687707956	-0.385949228
100360501	0.50505603	0.346307163	2.152446706
100360518	0.111689779	-1.718205241	0.150766865
100360533	1.162456003	0.130964892	1.354621283
100360582	-0.267091551	0.144427303	0.820274846
100360606	0.119552118	0.233770539	-0.629520132
100360623	-1.716068993	-0.241447125	-0.480599753
100360682	0.426161812	-0.412744517	0.594291575
100360772	-0.088011889	0.057088812	0.227132483
100360777	1.732759465	-0.002520389	1.202103169
100360801	0.3107054	1.537752352	3.371140304
100360867	-1.850409855	-0.264897733	-1.242094584
100360872	0.741531876	-0.258214338	0.182791807
100360880	0.169569545	2.630551662	-0.385525887
100360914	2.656905142	0.000443936	-0.375723846
100360933	-0.231140481	-0.086073446	-0.940450997
100360936	0.579486479	-0.160646675	-1.607152728
100360982	0.669826485	-0.907660156	0.144137358
100361114	0.769786523	0.974448267	0.484783752
100361133	-0.381504341	1.188781134	0.740795311
100361134	0.490712443	-1.113291629	-1.713431802
100361138	-0.065458675	-0.030356493	-1.358757364
100361147	0.749537933	1.426470048	1.09549744
100361188	0.552742338	1.69078903	1.118005663
100361238	1.000981884	0.419357655	1.569543703
100361269	0.218013755	-0.344505552	0.390341243
100361294	0.193741309	-0.787613591	-0.604348578
100361323	0.478295118	-0.489247488	-0.288595436
100361376	-1.176802146	-3.391889103	-4.602841646
100361389	1.16300824	-0.032852946	-0.252951313
100361417	0.387438774	-0.500343577	-1.120551776
100361444	0.049031502	-0.433718365	-0.889719829
