geneID	Compound_B_Low	Compound_B_Mid	Compound_B_High
100034253	0.02800168	0.756410239	3.581748677
100036582	-0.564971768	-1.38878826	0.664796719
100036765	0.0546755	0.051391773	-0.923060016
100049583	-0.199178339	1.183758328	1.016251735
100125361	-0.212683472	0.880403721	-2.441594925
100125362	-1.170653897	-0.696561752	-1.081181032
100125364	0.812677358	1.022828513	0.260345037
100125367	0.195702431	1.191650751	1.488688493
100125370	-0.587649459	-2.057965729	-2.935598428
100125371	-1.877643662	-1.10996906	-0.775502245
100125373	0.632566695	0.618917587	1.164508104
100125374	-0.861229568	-0.277024775	-0.19772728
100126191	0.08071134	-1.666708781	0.352586066
100134827	-1.085175613	-1.932896354	-1.76928684
100145871	-1.549406435	2.450056346	3.878592871
100147704	0.839251606	0.055824468	0.587022438
100151767	0.379020845	0.596108713	0.067535143
100158225	-0.417611644	-0.732390731	-2.198561125
100158232	0.09857718	0.473298352	0.578003807
100158233	1.014851173	0.326044193	2.000656853
100174909	-0.088126066	-0.198711884	0.078500465
100174910	1.135894441	0.602255061	3.235353589
100188932	-1.551037255	-1.813253179	0.463101513
100188933	1.789687926	-0.005046132	0.116140562
100188937	0.791221867	0.679439926	0.691904904
100188944	0.570802378	1.455058254	-0.79757772
100189544	0.164301768	-2.482769617	-0.431420291
100190936	-0.643876062	-0.470310383	-0.313238035
100192313	-0.642610318	-1.337484722	-2.585987644
100192314	1.154157681	-1.160741049	-0.928937237
100196907	1.093940556	0.293316315	-1.844814983
100216475	2.699953758	4.476428962	5.731128041
100233176	-0.022999756	0.48169765	2.15969463
100270669	-2.559045773	-1.910905304	-0.525646318
100270678	0.058333092	0.456955921	-0.723359689
100294508	0.224400427	0.537836792	3.92722827
100301568	-1.231537431	-2.084319744	-2.885368182
100302372	-0.620251732	1.025680096	-1.54463594
100302373	-2.102796171	-1.28127273	-1.814505455
100302447	0.936749955	-0.445679286	0.602839718
100302453	-0.875432434	-1.198967052	-1.68637451
100303643	-0.252719944	0.47204442	-0.750997838
100310845	-1.007494156	-0.849565678	-0.573227552
100310874	1.544290931	0.298787577	0.211473556
100312984	1.260035973	1.605989501	0.006161134
100314002	2.069398311	0.397068541	-0.699430841
100314105	0.157137145	0.132166291	0.677868548
100314187	2.476820965	2.108611362	2.409485809
100314289	0.779498445	0.621929326	0.44852024
100322884	-0.235484091	2.78553482	3.155210334
100359478	-2.061706827	-1.621092758	-1.658032609
100359484	-1.492506572	-1.1057582	-0.504895394
100359529	1.272014082	2.38565827	2.494932219
100359558	-0.258150134	-0.204192012	-0.574304355
100359592	2.09776067	0.37162308	-0.723452986
100359595	0.486108069	-1.438807858	-0.294561943
100359642	0.757828948	1.332597079	2.36330537
100359678	0.009045665	-0.746118596	0.608949138
100359714	-1.921166147	0.381616443	1.081807012
100359753	-0.20146259	-1.111213559	-3.355879044
100359816	1.379164664	1.110680712	-1.008726428
100359823	-1.086291053	-0.416399415	1.655323812
100359832	-1.591457498	-0.891235653	-0.780708163
100359861	-1.006547806	-0.807368109	-0.565901937
100359865	3.487106557	-1.425552748	-1.829103843
100359879	0.530077076	-0.740050259	-0.371195393
100359945	0.847176454	0.246614135	1.745128004
