geneID	Compound_C_Low	Compound_C_Mid	Compound_C_High
100034253	-0.307910429	0.916877877	-1.039760455
100036582	1.250477446	-0.266134628	1.17272041
100036765	0.541078954	-0.83631169	0.311957429
100049583	-1.322112832	-0.024599059	0.528101677
100125361	0.495927086	0.550873655	0.500157671
100125362	-0.114697376	-1.597851507	-0.814715207
100125364	-1.070561603	0.685172904	0.488331268
100125367	-0.333271394	0.688594768	-0.775843859
100125370	-0.313698709	-1.812992424	-1.614286388
100125371	-1.03441665	0.580592668	-2.067619628
100125373	-1.393783963	0.706498557	1.967268702
100125374	1.240668291	-0.340589416	0.111018098
100126191	0.448417953	0.383064568	1.360482379
100134827	1.08190289	2.736916148	-1.432323511
100145871	0.064966794	-0.186692456	5.33621744
100147704	0.175712531	-0.291113272	1.909631989
100151767	-0.594927254	0.248551641	-1.69872965
100158225	1.777351434	-1.086150904	-1.369831349
100158232	1.530400235	1.561348492	-0.75546918
100158233	-2.873375612	-0.696949208	-1.113229174
100174909	-0.936490065	0.69581899	-0.162126998
100174910	1.060389324	1.585197495	3.865860143
100188932	0.847944463	0.479560213	-0.200304514
100188933	2.155474798	1.318911461	-0.874427734
100188937	2.505146925	3.206001854	4.285163581
100188944	-0.281312442	0.051839484	0.150569559
100189544	2.419385485	0.77341251	0.975304652
100190936	0.490825866	-0.765733339	1.085716593
100192313	-1.551242497	-1.427823432	-2.554490943
100192314	0.914715881	-0.313219427	-0.618892994
100196907	0.482370617	-0.873651153	-2.995869651
100216475	0.4159335	1.118917973	1.449679008
100233176	-0.455209903	2.847990179	3.390070043
100270669	0.140256934	1.002244747	2.068871584
100270678	-2.127458116	-1.6026669	-1.159405068
100294508	-1.14349603	-0.039954028	1.231515857
100301568	1.497997233	0.477548608	0.847094098
100302372	0.167464921	-0.606175097	-1.748170975
100302373	1.214088886	-0.990578489	0.728076739
100302447	1.566754544	1.636305804	0.416865956
100302453	-0.586095577	-1.216461111	-1.955023824
100303643	1.009133546	-1.050118298	0.104237941
100310845	-0.314387289	0.88953623	-0.2682672
100310874	0.094042806	1.592020243	1.169895925
100312984	1.852822631	0.412414437	-1.6784536
100314002	-0.076627555	-1.673215757	-0.575718571
100314105	1.174983007	0.39199103	2.106176089
100314187	1.247322806	0.346296687	0.000105006
100314289	1.429397703	-1.13205698	1.871745955
100322884	-0.348611433	1.081929909	0.935418367
100359478	0.559411689	-0.634999307	0.121616035
100359484	0.074914997	1.326976157	0.350089582
