geneID	geneSymbol	geneName	Pathway
100034253	Gnl3l	guanine nucleotide binding protein-like 3 (nucleolar)-like	path:rno03008 Ribosome biogenesis in eukaryotes
100036582	Olr1867	olfactory receptor 1867	NA
100036765	Ccdc92	coiled-coil domain containing 92	NA
100049583	Trex1	three prime repair exonuclease 1	path:rno04623 Cytosolic DNA-sensing pathway
100125361	Zfp867	zinc finger protein 867	NA
100125362	LOC100125362	hypothetical protein LOC100125362	NA
100125364	LOC100125364	hypothetical protein LOC100125364	NA
100125367	LOC100125367	hypothetical protein LOC100125367	NA
100125370	Nadk	NAD kinase	path:rno00760 Nicotinate and nicotinamide metabolism
100125371	Tug1	taurine up-regulated 1 (non-protein coding)	NA
100125373	Pnrc2	proline-rich nuclear receptor coactivator 2	NA
100125374	Adat3	adenosine deaminase, tRNA-specific 3	NA
100126191	Rab1b	RAB1B, member RAS oncogene family	path:rno05134 Legionellosis
100134827	Hiat1	hippocampus abundant transcript 1	NA
100145871	Adh5	alcohol dehydrogenase 5 (class III), chi polypeptide	path:rno00010 Glycolysis / Gluconeogenesis
100147704	Usp43	ubiquitin specific peptidase 43	NA
100151767	LOC100151767	hypothetical LOC100151767	NA
100158225	LOC100158225	hypothetical protein LOC100158225	NA
100158232	Zfp9	zinc finger protein 9	NA
100158233	Slc35a2	solute carrier family 35 (UDP-galactose transporter), member A2	NA
100174909	Smim11	small integral membrane protein 11	NA
100174910	LOC100174910	glutaredoxin-like protein	NA
100188932	Ost4	oligosaccharyltransferase complex subunit 4	NA
100188933	Fam229b	family with sequence similarity 229, member B	NA
100188937	Cox7c	cytochrome c oxidase, subunit VIIc	path:rno00190 Oxidative phosphorylation
100188944	Pnkd	paroxysmal nonkinesigenic dyskinesia	NA
100189544	Nrn1l	neuritin 1-like	NA
100190936	Rnf123	ring finger protein 123	NA
100192313	Atxn7l3b	ataxin 7-like 3B	NA
100192314	Inafm1	InaF-motif containing 1	NA
100196907	Tmem59	transmembrane protein 59	NA
100216475	Hexdc	hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing	path:rno00511 Other glycan degradation
100233176	LOC100233176	hypothetical protein LOC100233176	NA
100270669	Riiad1	regulatory subunit of type II PKA R-subunit (RIIa) domain containing 1	NA
100270678	Spns2	spinster homolog 2	NA
100294508	LOC100294508	dyslexia susceptibility 2-like	NA
100301568	Abo	"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"	path:rno00601 Glycosphingolipid biosynthesis - lacto and neolacto series
100302372	LOC100302372	hypothetical protein LOC100302372	NA
100302373	Ctxn2	cortexin 2	NA
100302447	Cox16	cytochrome c oxidase assembly protein 16	path:rno04714 Thermogenesis
100302453	Mettl9	methyltransferase like 9	NA
100303643	Fcgbp	Fc fragment of IgG binding protein	NA
100310845	Kdm6a	lysine (K)-specific demethylase 6A	path:rno05202 Transcriptional misregulation in cancer
100310874	Parpbp	PARP1 binding protein	NA
100312984	Eif2s3y	eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked	path:rno03013 RNA transport
100314002	Mir23b	microRNA 23b	path:rno05206 MicroRNAs in cancer
100314105	Mir384	microRNA 384	NA
100314187	Mir29c	microRNA 29c	path:rno05206 MicroRNAs in cancer
100314289	Mir351	microRNA 351	NA
100322884	Nemf	nuclear export mediator factor	NA
100359478	Tstd1	thiosulfate sulfurtransferase (rhodanese)-like domain containing 1	NA
100359484	Zfp628	zinc finger protein 628	NA
100359529	Immp2l	inner mitochondrial membrane peptidase subunit 2	path:rno03060 Protein export
100359558	Fam177a1	family with sequence similarity 177, member A1	NA
100359592	Palm3	paralemmin 3	NA
100359595	Tbc1d32	TBC1 domain family, member 32	NA
100359642	Chmp4b	charged multivesicular body protein 4B	NA
100359678	Armcx4	armadillo repeat containing, X-linked 4	NA
100359714	Phf6	PHD finger protein 6	NA
100359753	Dnaaf3	dynein, axonemal, assembly factor 3	NA
100359816	LOC100359816	rCG21620-like	path:rno00310 Lysine degradation
100359823	Tmem167a	transmembrane protein 167A	NA
100359832	Fam104b	family with sequence similarity 104, member B	NA
100359861	Smim15	small integral membrane protein 15	NA
100359865	Hrct1	histidine rich carboxyl terminus 1	NA
100359879	Tmem91	transmembrane protein 91	NA
100359945	Rslcan18	regulator of sex-limitation candidate 18	NA
100359946	Hmox2-ps1	heme oxygenase (decycling) 2, pseudogene 1	NA
100359977	Cd164l2	CD164 sialomucin-like 2	NA
100359982	Mpc2	mitochondrial pyruvate carrier 2	NA
100360015	Car10	carbonic anhydrase 10	NA
100360017	LOC100360017	mitochondrial ribosomal protein S6-like	path:rno03010 Ribosome
100360066	Evi5	ecotropic viral integration site 5	NA
100360077	Znhit1	zinc finger, HIT-type containing 1	NA
100360100	Taf3	TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated factor	path:rno03022 Basal transcription factors
100360120	LOC100360120	hypothetical protein LOC100360120	NA
100360128	LOC100360128	CDNA sequence BC049702-like	NA
100360180	Pgd	phosphogluconate dehydrogenase	path:rno00030 Pentose phosphate pathway
100360205	LOC100360205	palladin	NA
100360302	Sec16a	SEC16 homolog A, endoplasmic reticulum export factor	NA
100360334	Fhod3	formin homology 2 domain containing 3	NA
100360342	Msh6	mutS homolog 6	path:rno01524 Platinum drug resistance
100360380	LOC100360380	zinc finger protein 457-like	NA
100360406	Tsr1	TSR1, 20S rRNA accumulation, homolog (S. cerevisiae)	NA
100360412	Dnajc1	DnaJ (Hsp40) homolog, subfamily C, member 1	path:rno04141 Protein processing in endoplasmic reticulum
100360417	LOC100360417	RUN and SH3 domain containing 1-like	NA
100360427	E2f4	E2F transcription factor 4, p107/p130-binding	path:rno04110 Cell cycle
100360464	Arxes2	adipocyte-related X-chromosome expressed sequence 2	path:rno03060 Protein export
100360470	LOC100360470	hypothetical protein LOC100360470	NA
100360501	Rnh1	ribonuclease/angiogenin inhibitor 1	NA
100360518	Hsh2d	hematopoietic SH2 domain containing	NA
100360533	Fam57a	family with sequence similarity 57, member A	NA
100360582	Nt5c	5', 3'-nucleotidase, cytosolic	path:rno00230 Purine metabolism
100360606	Zranb1	zinc finger, RAN-binding domain containing 1	NA
100360623	Iqgap2	IQ motif containing GTPase activating protein 2	path:rno04810 Regulation of actin cytoskeleton
100360682	Snrpe	small nuclear ribonucleoprotein polypeptide E	path:rno03040 Spliceosome
100360772	LOC100360772	zinc finger protein 665-like	NA
100360777	Mroh8	maestro heat-like repeat family member 8	NA
100360801	Ddx60	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60	NA
100360867	Ypel1	yippee-like 1	NA
100360872	Mcpt1l1	mast cell protease 1-like 1	path:rno04614 Renin-angiotensin system
100360880	Fosb	FBJ osteosarcoma oncogene B	path:rno04380 Osteoclast differentiation
100360914	Fbxw7	F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase	path:rno04120 Ubiquitin mediated proteolysis
100360933	LOC100360933	cDNA sequence BC048679-like	NA
100360936	Anapc16	anaphase promoting complex subunit 16	NA
100360982	Relb	v-rel avian reticuloendotheliosis viral oncogene homolog B	path:rno04010 MAPK signaling pathway
100361114	Zfp869	zinc finger protein 869	NA
100361133	Mycbp	Myc binding protein	NA
100361134	Shisa9	shisa family member 9	NA
100361138	Dgkq	diacylglycerol kinase, theta	path:rno00561 Glycerolipid metabolism
100361147	Mkrn2os	MKRN2 opposite strand	NA
100361188	Lyrm5	LYR motif containing 5	NA
